"V1" "V2"
"STP1" "YPL049C"
"STP1" "YPL040C"
"STP1" "YPL033C"
"STP1" "YPL021W"
"STP1" "YPL019C"
"STP1" "YPL018W"
"STP1" "YPL017C"
"STP1" "YPL016W"
"STP1" "YPL004C"
"STP1" "YPR001W"
"STP1" "YPR010C"
"STP1" "YPR028W"
"STP1" "YPR038W"
"STP1" "YPR058W"
"STP1" "YPR064W"
"STP1" "YPR077C"
"STP1" "YPR117W"
"STP1" "YPR120C"
"STP1" "YPR132W"
"STP1" "YPR159W"
"STP1" "YPR160W"
"STP1" "YPR176C"
"STP1" "YPR192W"
"STP1" "YAL062W"
"STP1" "YAR007C"
"STP1" "YAR015W"
"STP1" "YAR027W"
"STP1" "YAR029W"
"STP1" "YAR033W"
"STP1" "YAR071W"
"STP1" "YAR075W"
"STP1" "YBL098W"
"STP1" "YBL092W"
"STP1" "YBL078C"
"STP1" "YBL058W"
"STP1" "YBL049W"
"STP1" "YBL048W"
"STP1" "YBL042C"
"STP1" "YBL026W"
"STP1" "YBL003C"
"STP1" "YBL002W"
"STP1" "YBR005W"
"STP1" "YBR009C"
"STP1" "YBR010W"
"STP1" "YBR012C"
"STP1" "YBR032W"
"STP1" "YBR045C"
"STP1" "YBR047W"
"STP1" "YBR053C"
"STP1" "YBR056W"
"STP1" "YBR068C"
"STP1" "YBR069C"
"STP1" "YBR071W"
"STP1" "YBR072W"
"STP1" "YBR082C"
"STP1" "YBR085W"
"STP1" "YBR087W"
"STP1" "YJL078C"
"STP1" "YJL076W"
"STP1" "YJL073W"
"STP1" "YJL071W"
"STP1" "YJL057C"
"STP1" "YJL052W"
"STP1" "YJL048C"
"STP1" "YJL045W"
"STP1" "YJL037W"
"STP1" "YLL016W"
"STP1" "YBR161W"
"STP1" "YDL182W"
"STP1" "TLC1"
"STP1" "snR13"
"STP1" "snR31"
"STP1" "snR44"
"STP1" "snR54"
"STP1" "snR56"
"STP1" "snR6"
"STP1" "snR63"
"STP1" "snR69"
"STP1" "tA(AGC)P"
"STP1" "tC(GCA)P1"
